execution_date,total_executions,avg_executions_per_org,median_executions,percentile_25,percentile_75,percentile_5,percentile_95,org_count,moving_avg_7day
2024-02-04,188304,43,2.00,1.00,8.00,1.00,118.10,4359,188304
2024-02-05,2148173,131,4.00,1.00,51.00,1.00,440.55,16310,1168238
2024-02-06,1711654,105,4.00,1.00,41.00,1.00,284.00,16231,1349377
2024-02-07,2464621,147,4.00,1.00,49.00,1.00,510.00,16761,1628188
2024-02-08,1632666,98,4.00,1.00,42.00,1.00,272.00,16598,1629083
2024-02-09,2327318,133,4.00,1.00,50.00,1.00,426.00,17410,1745456
2024-02-10,2199179,143,3.00,1.00,49.00,1.00,411.70,15374,1810273
2024-02-11,2250336,140,3.00,1.00,49.00,1.00,428.20,16037,2104849
2024-02-12,1920260,111,5.00,1.00,49.00,1.00,293.00,17292,2072290
2024-02-13,2905448,164,5.00,1.00,58.00,1.00,559.00,17690,2242832
2024-02-14,1944382,109,4.00,1.00,51.00,1.00,303.00,17742,2168512
2024-02-15,2360059,134,5.00,1.00,56.00,1.00,399.05,17500,2272426
2024-02-16,2704372,149,5.00,2.00,52.00,1.00,442.60,18049,2326290
2024-02-17,2280771,136,4.00,1.00,51.00,1.00,421.05,16700,2337946
2024-02-18,2283276,136,3.00,1.00,41.00,1.00,249.30,16755,2342652
2024-02-19,2907921,157,5.00,1.00,61.00,1.00,519.95,18442,2483747
2024-02-20,2216903,121,4.00,1.00,51.00,1.00,325.80,18305,2385383
2024-02-21,2655047,141,5.00,1.00,55.00,1.00,436.00,18729,2486907
2024-02-22,2543420,139,5.00,1.00,54.00,1.00,411.00,18275,2513101
2024-02-23,2666295,139,4.00,1.00,52.00,1.00,393.70,19114,2507661
2024-02-24,1914633,109,3.00,1.00,44.00,1.00,247.40,17493,2455356
2024-02-25,3048659,170,4.00,1.00,52.00,1.00,569.25,17916,2564696
2024-02-26,2545577,133,5.00,1.00,51.00,1.00,333.00,19116,2512933
2024-02-27,3415850,182,6.00,1.00,59.00,1.00,403.30,18759,2684211
2024-02-28,2828516,147,5.00,1.00,53.00,1.00,399.00,19148,2708992
2024-02-29,2939220,151,5.00,1.00,54.00,1.00,467.05,19360,2765535
2024-03-01,2692375,133,6.00,2.00,58.00,1.00,398.00,20158,2769261
2024-03-02,2363980,130,15.00,1.00,66.00,1.00,461.00,18061,2833453
2024-03-03,2890515,159,18.00,2.00,79.00,1.00,544.00,18168,2810861
2024-03-04,3282936,164,25.00,2.00,83.00,1.00,489.00,19981,2916198
2024-03-05,3168439,158,7.00,2.00,59.00,1.00,457.00,20003,2880854
2024-03-06,2434185,121,6.00,1.00,52.00,1.00,278.00,19958,2824521
2024-03-07,3247555,159,6.00,1.00,57.00,1.00,516.00,20408,2868569
2024-03-08,2086739,101,6.00,2.00,51.00,1.00,268.55,20630,2782049
2024-03-09,2335158,122,4.00,1.00,50.00,1.00,368.00,19099,2777932
2024-03-10,2190544,115,5.00,1.00,51.00,1.00,325.00,19013,2677936
2024-03-11,3022333,144,8.00,2.00,58.00,1.00,457.00,20924,2640707
2024-03-12,2564416,124,8.00,2.00,52.00,1.00,279.50,20571,2554418
2024-03-13,3061296,146,8.00,2.00,60.00,1.00,464.00,20876,2644005
2024-03-14,2043243,99,5.00,1.00,49.00,1.00,243.00,20495,2471961
2024-03-15,1662613,81,3.00,1.00,24.00,1.00,185.00,20397,2411371
2024-03-16,2088803,103,4.00,1.00,41.00,1.00,245.00,20205,2376178
2024-03-17,1563425,77,3.00,1.00,26.00,1.00,146.00,20064,2286589
2024-03-18,2033441,98,7.00,1.00,51.00,1.00,271.00,20660,2145319
2024-03-19,3468584,160,8.00,2.00,61.00,1.00,514.00,21631,2274486
