execution_date,total_executions,avg_executions_per_org,median_executions,percentile_25,percentile_75,percentile_5,percentile_95,org_count,moving_avg_7day
2024-12-01,4027097,83,4.0,1.0,16.0,1.0,195.0,48493,4014484
2024-12-02,4817695,97,5.0,2.0,29.0,1.0,216.0,49447,4057264
2024-12-03,4933941,99,5.0,2.0,28.0,1.0,224.0,49723,4181591
2024-12-04,4765349,96,5.0,2.0,29.0,1.0,227.0,49266,4268705
2024-12-05,4782970,96,5.0,2.0,27.0,1.0,222.0,49602,4438468
2024-12-06,4413715,87,5.0,2.0,26.0,1.0,189.0,50181,4472355
2024-12-07,3869420,81,4.0,1.0,21.0,1.0,179.0,47515,4515741
2024-12-08,3519103,75,4.0,1.0,14.0,1.0,159.0,46894,4443170
2024-12-09,4889615,99,5.0,2.0,30.0,1.0,232.0,49063,4453444
2024-12-10,4801043,95,4.0,2.0,28.0,1.0,223.0,50068,4434459
2024-12-11,4707633,94,5.0,2.0,29.0,1.0,247.0,50004,4426214
2024-12-12,4190452,85,5.0,2.0,28.0,1.0,209.0,49082,4341568
2024-12-13,4420044,86,5.0,2.0,29.0,1.0,240.0,50822,4342472
2024-12-14,3267090,69,4.0,2.0,23.0,1.0,178.0,46881,4256425
2024-12-15,3030425,64,3.0,1.0,13.0,1.0,160.0,46653,4186614
2024-12-16,4418787,89,6.0,2.0,29.0,1.0,233.0,49573,4119353
2024-12-17,4712911,94,4.0,2.0,29.0,1.0,227.85,49864,4106763
2024-12-18,4133431,83,5.0,2.0,29.0,1.0,208.05,49340,4024734
2024-12-19,4221577,83,4.0,1.0,26.0,1.0,222.0,50571,4029180
2024-12-20,3989571,79,4.0,2.0,28.0,1.0,200.0,50038,3967684
2024-12-21,3595877,75,4.0,1.0,25.0,1.0,201.0,47773,4014654
2024-12-22,3437963,72,4.0,1.0,18.0,1.0,192.0,47428,4072873
2024-12-23,4574601,92,6.0,2.0,32.0,1.0,230.0,49648,4095133
2024-12-24,3861450,76,4.0,2.0,27.0,1.0,200.0,50593,3973495
2024-12-25,4082727,81,5.0,2.0,35.0,1.0,234.0,50009,3966252
2024-12-26,3971935,80,5.0,2.0,31.0,1.0,204.0,49632,3930589
2024-12-27,3935427,77,4.0,2.0,30.0,1.0,203.0,50713,3922854
2024-12-28,3246113,68,3.0,1.0,28.0,1.0,183.0,47250,3872888
2024-12-29,3367837,70,4.0,1.0,26.0,1.0,194.0,47458,3862870
2024-12-30,3995934,78,4.0,2.0,32.0,1.0,200.0,51182,3780203
2024-12-31,4242055,84,4.0,2.0,36.0,1.0,233.7,50367,3834575
